Name,Price,Year,Engine,Distance,City
BMW 520e,63 500 $,2021,2.0 L,19 000 km,Bakı
Subaru Outback,45 900 $,2023,2.5 L,0 km,Bakı
Toyota Crown,59 000 $,2023,2.5 L,0 km,Bakı
Changan CS 95,65 900 AZN,2023,2.0 L,0 km,Bakı
Mercedes C 230,10 900 AZN,1999,2.3 L,280 0f00 km,Bakı
Kia Sportage,30 000 AZN,2013,2.0 L,135 000 km,Bakı
BMW 430,40 000 $,2021,2.0 L,21 634 km,Bakı
Mercedes E 230,11 000 AZN,1996,2.3 L,418 213 km,Bakı
LADA (VAZ) Niva,13 300 AZN,2014,1.7 L,112 000 km,Sumqayıt
Toyota Prius,8 500 AZN,2008,1.5 L,300 000 km,Bakı
Toyota Prius,27 800 AZN,2016,1.8 L,194 000 km,Bakı
Chevrolet Camaro,35 600 AZN,2012,3.6 L,165 000 km,Bakı
BMW i7,148 500 $,2023,0.0 L,0 km,Bakı
Mercedes S 580 4MATIC,147 000 $,2022,3.0 L,36 800 km,Bakı
Toyota Land Cruiser,86 000 $,2018,4.5 L,92 000 km,Bakı
Mercedes GLC 250 4MATIC Coupe,42 900 $,2018,2.0 L,90 000 km,Bakı
Volkswagen Jetta,17 500 AZN,2016,1.4 L,177 736 km,Bakı
Lexus ES 200,22 900 $,2015,2.0 L,139 900 km,Bakı
Opel Astra,11 700 AZN,2005,1.4 L,219 000 km,Bakı
Land Rover Range Rover,88 000 $,2020,3.0 L,87 000 km,Bakı
Kia Sorento,48 500 AZN,2016,2.2 L,130 300 km,Bakı
Volkswagen Tiguan,20 500 AZN,2013,2.0 L,130 000 km,Bakı
Toyota Highlander,52 500 $,2023,2.5 L,0 km,Bakı
Hyundai Sonata,24 900 AZN,2015,2.0 L,121 000 km,Bakı
Toyota Highlander,19 000 $,2011,3.5 L,339 300 km,Bakı
Audi A4,13 200 AZN,2006,3.0 L,297 840 km,Bakı
Mercedes G 65 AMG,107 500 $,2017,6.0 L,34 600 km,Bakı
Land Rover Range Rover,155 000 $,2019,3.0 L,82 000 km,Bakı
Khazar SD,9 500 AZN,2018,1.7 L,148 000 km,Bakı
Kia Sorento,45 500 AZN,2016,2.0 L,144 800 km,Bakı
Lexus GX 460,46 500 $,2014,4.6 L,156 000 km,Bakı
Land Rover Range Rover,53 500 $,2015,3.0 L,234 400 km,Bakı
Ford Transit,17 800 AZN,2003,2.4 L,206 000 km,Bakı
ZIL 130,9 000 AZN,1987,4.5 L,772 789 km,Sumqayıt
Toyota Highlander,43 000 $,2021,2.5 L,44 000 km,Bakı
Hyundai Avante,24 900 AZN,2014,1.6 L,209 000 km,Mingəçevir
Porsche Taycan GTS,133 500 €,2023,0.0 L,0 km,Bakı
Li Auto L7,50 500 $,2024,1.5 L,0 km,Bakı
Nissan Altima,32 900 $,2023,2.5 L,0 km,Bakı
Mercedes E 220 d,22 500 $,2013,2.2 L,208 000 km,Bakı
Toyota Camry,25 000 $,2020,2.5 L,90 000 km,Bakı
Volkswagen ID.6 Crozz,28 500 $,2022,0.0 L,9 500 km,Bakı
Honda Insight,10 800 AZN,2009,1.3 L,290 000 km,Bakı
Kia Cadenza,20 900 $,2015,3.5 L,89 830 km,Sumqayıt
ZEEKR 001,49 999 $,2024,0.0 L,0 km,Bakı
Opel Astra,13 000 AZN,2009,1.4 L,191 200 km,Bakı
Chevrolet Cruze,13 400 AZN,2015,1.4 L,165 200 km,Bakı
Kia Sorento,40 500 AZN,2015,2.0 L,115 000 km,Bakı
Audi A6,24 400 $,2016,2.0 L,112 000 km,Bakı
Nissan Tiida,9 300 AZN,2008,1.6 L,380 000 km,Bakı
Mercedes CLS 500,34 000 $,2012,4.7 L,98 000 km,Bakı
Chevrolet Cruze,16 400 AZN,2015,1.4 L,235 200 km,Bakı
Daewoo Leganza,5 200 AZN,2000,2.0 L,440 000 km,Bakı
Hyundai Getz,8 900 AZN,2008,1.5 L,268 444 km,Bakı
BMW 530e,55 000 $,2022,2.0 L,20 000 km,Bakı
BMW M6,64 900 $,2015,4.4 L,89 000 km,Bakı
